,Instance,Clear,Start Time,End Time,Duration,Deaths
110,1,False,2022-01-08 22:57:41,2022-01-08 23:02:25,0:04:44,8
111,1,False,2022-01-08 23:02:58,2022-01-08 23:07:50,0:04:52,9
112,1,False,2022-01-08 23:13:47,2022-01-08 23:14:38,0:00:51,8
113,1,False,2022-01-08 23:15:15,2022-01-08 23:15:28,0:00:13,8
114,1,False,2022-01-08 23:15:58,2022-01-08 23:22:37,0:06:39,23
115,1,False,2022-01-08 23:24:31,2022-01-08 23:32:41,0:08:10,18
116,1,False,2022-01-08 23:33:31,2022-01-08 23:42:09,0:08:38,16
117,1,False,2022-01-08 23:44:21,2022-01-08 23:48:59,0:04:38,9
118,1,False,2022-01-08 23:49:34,2022-01-08 23:58:23,0:08:49,16
119,1,False,2022-01-08 23:59:10,2022-01-09 00:05:01,0:05:51,12
120,1,False,2022-01-09 00:05:44,2022-01-09 00:14:29,0:08:45,10
121,1,False,2022-01-09 00:17:40,2022-01-09 00:22:59,0:05:19,14
122,1,False,2022-01-10 18:40:29,2022-01-10 18:45:56,0:05:27,13
123,1,False,2022-01-10 18:46:31,2022-01-10 18:55:22,0:08:51,13
124,1,False,2022-01-10 18:57:38,2022-01-10 19:03:00,0:05:22,12
125,1,False,2022-01-10 19:03:36,2022-01-10 19:06:13,0:02:37,8
126,1,False,2022-01-10 19:06:48,2022-01-10 19:11:26,0:04:38,8
127,1,False,2022-01-10 19:12:04,2022-01-10 19:20:54,0:08:50,9
128,1,False,2022-01-10 19:22:56,2022-01-10 19:32:59,0:10:03,9
129,1,False,2022-01-10 19:33:56,2022-01-10 19:40:40,0:06:44,9
130,1,False,2022-01-10 19:48:34,2022-01-10 19:58:09,0:09:35,11
131,1,False,2022-01-10 19:58:25,2022-01-10 19:58:32,0:00:07,8
132,1,False,2022-01-10 19:59:22,2022-01-10 20:08:12,0:08:50,9
133,1,False,2022-01-10 20:08:49,2022-01-10 20:19:20,0:10:31,15
134,1,False,2022-01-10 20:20:27,2022-01-10 20:23:16,0:02:49,9
135,1,False,2022-01-10 20:23:49,2022-01-10 20:34:20,0:10:31,11
136,1,False,2022-01-10 20:35:16,2022-01-10 20:38:03,0:02:47,8
137,1,False,2022-01-10 20:41:05,2022-01-10 20:43:20,0:02:15,8
138,1,False,2022-01-10 20:44:34,2022-01-10 20:53:25,0:08:51,8
139,1,False,2022-01-10 20:54:22,2022-01-10 21:00:09,0:05:47,9
140,1,True,2022-01-10 21:00:37,2022-01-10 21:10:58,0:10:21,2
151,1,False,2022-01-14 19:37:19,2022-01-14 19:37:30,0:00:11,8
152,1,False,2022-01-14 19:42:35,2022-01-14 19:44:04,0:01:29,9
153,1,False,2022-01-14 19:45:36,2022-01-14 19:47:45,0:02:09,9
154,1,False,2022-01-14 19:48:29,2022-01-14 19:51:48,0:03:19,10
155,1,False,2022-01-14 19:54:37,2022-01-14 19:56:16,0:01:39,8
156,1,False,2022-01-14 19:57:20,2022-01-14 19:58:14,0:00:54,8
157,1,False,2022-01-14 19:59:19,2022-01-14 20:03:47,0:04:28,8
158,1,False,2022-01-15 17:15:52,2022-01-15 17:18:04,0:02:12,11
159,1,False,2022-01-15 17:18:31,2022-01-15 17:24:05,0:05:34,13
160,1,False,2022-01-15 17:25:23,2022-01-15 17:28:07,0:02:44,11
161,1,False,2022-01-15 17:29:50,2022-01-15 17:36:27,0:06:37,16
162,1,False,2022-01-15 17:39:58,2022-01-15 17:42:46,0:02:48,9
